Name,Year,Rating,Tags,Watched Date
Nimona,2023,4,with bhai,02-06-2024
Ocean's Eight,2018,3.5,with mom,31-05-2024
Baby Driver,2017,3.5,with mom,30-05-2024
The Truman Show,1998,4,,30-05-2024
Challengers,2024,4.5,with ishika,24-05-2024
Furiosa: A Mad Max Saga,2024,,"with ishika, with yasha, @theatre",23-05-2024
Se7en,1995,4.5,"with rachel, with neha",21-05-2024
Monkey Man,2024,4,,20-05-2024
The Idea of You,2024,3,,17-05-2024
Meg 2: The Trench,2023,1.5,with technical club,16-05-2024
Khushi,2003,2,with ishika,16-05-2024
My Best Friend's Wedding,1997,3.5,,04-05-2024
Coraline,2009,4,with yasha,26-04-2024
Groundhog Day,1993,,with ishika,24-04-2024
Sixteen Candles,1984,2,,23-04-2024
Pride & Prejudice,2005,4.5,with yasha,19-04-2024
Diary of a Wimpy Kid,2010,3,"with ishika, with yasha",18-04-2024
Prom Pact,2023,3.5,with ishika,16-04-2024
Weathering with You,2019,3.5,,15-04-2024
Shaun of the Dead,2004,3.5,with ishika,13-04-2024
The Holdovers,2023,5,with yasha,12-04-2024
Before Sunset,2004,4.5,,11-04-2024
Se7en,1995,4,with yasha,10-04-2024
Barbie as the Island Princess,2007,,with yasha,10-04-2024
Captain America: The Winter Soldier,2014,4,with ishika,08-04-2024
About Time,2013,4,,26-03-2024
Black Swan,2010,4.5,with yasha,24-03-2024
Call Me by Your Name,2017,,,20-03-2024
Puss in Boots: The Last Wish,2022,4,with ishika,20-03-2024
Murder Mubarak,2024,1.5,with ishika,17-03-2024
The Ring,2002,3.5,"with parnika, with neha",16-03-2024
Barbie: Princess Charm School,2011,,with yasha,14-03-2024
Poor Things,2023,4,,11-03-2024
Barbie,2023,4,with ishika,11-03-2024
Set It Up,2018,4,with khushi,10-03-2024
"As Above, So Below",2014,2.5,with ishika,10-03-2024
The Taking of Deborah Logan,2014,3,"with ishika, with neha, with tanisha",09-03-2024
Yavarum Nalam,2009,3.5,with ishika,07-03-2024
Mad Max: Fury Road,2015,5,"with rachel, with neha, with tanisha",05-03-2024
The Visit,2015,3.5,"with ishika, with yasha",05-03-2024
Good Newwz,2019,1.5,"with ishika, with yasha",05-03-2024
The Silence of the Lambs,1991,4.5,,05-03-2024
Dune: Part Two,2024,4.5,"with ishika, @theatre, with tanisha",04-03-2024
Set It Up,2018,4,with ishika,23-02-2024
Eyes Wide Shut,1999,4,with yasha,22-02-2024
Anyone But You,2023,3,"with ishika, with rachel, with yasha, with neha, with tanisha",20-02-2024
Saltburn,2023,3.5,"with ishika, with yasha, with parnika",20-02-2024
Deadpool,2016,3.5,with ishika,18-02-2024
Deadpool 2,2018,3.5,with ishika,18-02-2024
The Suicide Squad,2021,4.5,"with ishika, with yasha",17-02-2024
Suicide Squad,2016,2,"with ishika, with parnika, with yasha",17-02-2024
Stree,2018,3.5,with khushi,16-02-2024
Avatar,2009,4,"with ishika, with rachel, with parnika, with neha",04-02-2024
No Hard Feelings,2023,3.5,"with ishika, with yasha, with parnika",02-02-2024
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3.5,with yasha,31-01-2024
A Haunting in Venice,2023,3.5,with ishika,28-01-2024
War,2019,3.5,with mom,26-01-2024
Kho Gaye Hum Kahan,2023,3.5,with ishika,16-01-2024
Tiger 3,2023,2.5,with ishika,15-01-2024
Bodies Bodies Bodies,2022,3.5,"with ishika, with yasha, with parnika",09-01-2024
Aquaman and the Lost Kingdom,2023,2,"@theatre, with anmol",07-01-2024
Barbie,2023,4.5,with mom,02-01-2024
Carl's Date,2023,3,,31-12-2023
Piper,2016,,,30-12-2023
Feast,2014,,,30-12-2023
Paperman,2012,,,30-12-2023
Out,2020,3,,30-12-2023
Burrow,2020,,,30-12-2023
Dil Dhadakne Do,2015,4.5,,28-12-2023
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,4,"with bhai, with dad",24-12-2023
Set It Up,2018,3.5,,23-12-2023
A Christmas Carol,2009,3,"with mom, with bhai",23-12-2023
If Anything Happens I Love You,2020,3.5,,11-12-2023
Love and Monsters,2020,4,with ishika,11-12-2023
The Archies,2023,2,with mom,07-12-2023
Mamma Mia!,2008,3.5,"with rachel, with parnika",04-12-2023
Nimona,2023,4,with technical club,01-12-2023
"Monica, O My Darling",2022,3.5,with technical club,01-12-2023
Top Gun: Maverick,2022,4,"with mom, with shridu bhaiya",29-11-2023
Arrival,2016,4.5,,29-11-2023
Fukrey 3,2023,2,"with mom, with dad",25-11-2023
Poison,2023,4,,22-11-2023
Beauty and the Beast,1991,4.5,with mom,21-11-2023
Bottoms,2023,4,"with ishika, with rachel",21-11-2023
The Hating Game,2021,2,"with ishika, with rachel",21-11-2023
The Princess and the Frog,2009,4,with bhai,20-11-2023
The Proposal,2009,3.5,,16-11-2023
The Marvels,2023,3.5,"with bhai, @theatre",10-11-2023
Chef,2014,4,,09-11-2023
Phineas and Ferb: The Movie: Candace Against the Universe,2020,3.5,with bhai,08-11-2023
Dogfight,1991,4,,06-11-2023
Taylor Swift: The Eras Tour,2023,,"@theatre, with esha didi",05-11-2023
Hum Tum,2004,3.5,with esha didi,03-11-2023
Legally Blonde,2001,4,with mom,31-10-2023
12th Fail,2023,4,"with mom, with bhai, with dad, @theatre",31-10-2023
